TIPO_LESÃO,TIPO_SEGMENTAÇÃO,N_NODES,EMBEDDING_SIZE,LEARNING_RATE,WEIGHT_DECAY,DROPOUT_GNN,DROPOUT_CLASSIFIER,CLASS_WEIGHT_MALIGN,TEST_ACCURACY,TEST_RECALL_MALIGN,TEST_PRECISION_MALIGN,TEST_F1_MALIGN,TEST_SUPPORT_MALIGN,BEST_VAL_ACCURACY
CALC,SLIC,25,128,0.001,0.0005,0.3,0.3,1.3929235935211182,0.7021276595744681,0.6617647058823529,0.5769230769230769,0.6164383561643836,68.0,0.7393617021276596
CALC,SLIC,25,128,0.001,0.001,0.3,0.3,1.3929235935211182,0.6542553191489362,0.7205882352941176,0.5157894736842106,0.6012269938650306,68.0,0.7127659574468085
CALC,SLIC,25,128,0.0005,0.0005,0.3,0.3,1.3929235935211182,0.7606382978723404,0.7352941176470589,0.6493506493506493,0.6896551724137931,68.0,0.7659574468085106
CALC,SLIC,25,128,0.0005,0.001,0.3,0.3,1.3929235935211182,0.7606382978723404,0.6617647058823529,0.6716417910447762,0.6666666666666666,68.0,0.776595744680851
CALC,DISF,25,128,0.001,0.0005,0.3,0.3,1.3929235935211182,0.7446808510638298,0.7205882352941176,0.6282051282051282,0.6712328767123288,68.0,0.7127659574468085
CALC,DISF,25,128,0.001,0.001,0.3,0.3,1.3929235935211182,0.6861702127659575,0.6323529411764706,0.5584415584415584,0.593103448275862,68.0,0.6861702127659575
CALC,DISF,25,128,0.0005,0.0005,0.3,0.3,1.3929235935211182,0.7127659574468085,0.6470588235294118,0.5945945945945946,0.6197183098591549,68.0,0.7446808510638298
CALC,DISF,25,128,0.0005,0.001,0.3,0.3,1.3929235935211182,0.723404255319149,0.6617647058823529,0.6081081081081081,0.6338028169014085,68.0,0.7074468085106383
MASS,SLIC,25,128,0.001,0.0005,0.3,0.3,1.0830670595169067,0.6235294117647059,0.6075949367088608,0.5925925925925926,0.6,79.0,0.6764705882352942
MASS,SLIC,25,128,0.001,0.001,0.3,0.3,1.0830670595169067,0.6176470588235294,0.6962025316455697,0.5729166666666666,0.6285714285714286,79.0,0.6941176470588235
MASS,SLIC,25,128,0.0005,0.0005,0.3,0.3,1.0830670595169067,0.7176470588235294,0.6835443037974683,0.7012987012987013,0.6923076923076923,79.0,0.7235294117647059
MASS,SLIC,25,128,0.0005,0.001,0.3,0.3,1.0830670595169067,0.7058823529411765,0.6075949367088608,0.7164179104477612,0.6575342465753424,79.0,0.7176470588235294
